_id,objectid_1,objectid,created_user,created_date,last_edited_user,last_edited_date,slope25,shape_are,shape_len,shape_area,shape_length
230573,629,2,pgh.admin,2018-04-04T16:11:46,pgh.admin,2018-04-04T16:11:46,Yes,0.00386219,69.93739244,67260.6499023438,5735.91985563991
230574,630,2,pgh.admin,2018-04-04T16:11:46,pgh.admin,2018-04-04T16:11:46,Yes,0.00386219,69.93739244,4127.94714355469,1413.24366759765
230575,631,2,pgh.admin,2018-04-04T16:11:46,pgh.admin,2018-04-04T16:11:46,Yes,0.00386219,69.93739244,20914.4016113281,2451.21663893692
230576,632,2,pgh.admin,2018-04-04T16:11:46,pgh.admin,2018-04-04T16:11:46,Yes,0.00386219,69.93739244,1861.47601318359,334.88218327525
230577,633,2,pgh.admin,2018-04-04T16:11:46,pgh.admin,2018-04-04T16:11:46,Yes,0.00386219,69.93739244,19022.4013061523,1462.07598181293
230578,634,2,pgh.admin,2018-04-04T16:11:46,pgh.admin,2018-04-04T16:11:46,Yes,0.00386219,69.93739244,447126.70324707,26389.8964850326
230579,635,2,pgh.admin,2018-04-04T16:11:46,pgh.admin,2018-04-04T16:11:46,Yes,0.00386219,69.93739244,523546.498291016,24708.1864343688
230580,636,2,pgh.admin,2018-04-04T16:11:46,pgh.admin,2018-04-04T16:11:46,Yes,0.00386219,69.93739244,362474.781738281,23915.4173568641
230581,637,2,pgh.admin,2018-04-04T16:11:46,pgh.admin,2018-04-04T16:11:46,Yes,0.00386219,69.93739244,409247.760375977,19840.5888676215
230582,638,2,pgh.admin,2018-04-04T16:11:46,pgh.admin,2018-04-04T16:11:46,Yes,0.00386219,69.93739244,248556.170349121,10810.6663375391
230583,639,2,pgh.admin,2018-04-04T16:11:46,pgh.admin,2018-04-04T16:11:46,Yes,0.00386219,69.93739244,250514.134094238,10589.6925083627
230584,640,2,pgh.admin,2018-04-04T16:11:46,pgh.admin,2018-04-04T16:11:46,Yes,0.00386219,69.93739244,322762.47076416,12676.8478063127
230585,641,2,pgh.admin,2018-04-04T16:11:46,pgh.admin,2018-04-04T16:11:46,Yes,0.00386219,69.93739244,516074.127197266,23972.8920011304
230586,642,2,pgh.admin,2018-04-04T16:11:46,pgh.admin,2018-04-04T16:11:46,Yes,0.00386219,69.93739244,3373.3359375,680.845144666753
230587,643,2,pgh.admin,2018-04-04T16:11:46,pgh.admin,2018-04-04T16:11:46,Yes,0.00386219,69.93739244,9571.20471191406,1233.94293435263
230588,644,2,pgh.admin,2018-04-04T16:11:46,pgh.admin,2018-04-04T16:11:46,Yes,0.00386219,69.93739244,58752.5338134766,5030.57925444642
230589,645,2,pgh.admin,2018-04-04T16:11:46,pgh.admin,2018-04-04T16:11:46,Yes,0.00386219,69.93739244,51.2489624023438,48.2619784354588
230590,646,2,pgh.admin,2018-04-04T16:11:46,pgh.admin,2018-04-04T16:11:46,Yes,0.00386219,69.93739244,86422.8189086914,9804.42851029948
230591,647,2,pgh.admin,2018-04-04T16:11:46,pgh.admin,2018-04-04T16:11:46,Yes,0.00386219,69.93739244,9016.66412353516,1355.3626474743
